"","rt","subject_id","img_duration","responded","condition","emotion","correct"
"1",563.705,"5e71201319928003752d45b8",1400,"long","blob","fear",TRUE
"2",908.005,"5e71201319928003752d45b8",800,"short","blob","sad",TRUE
"3",361.76,"5e71201319928003752d45b8",1200,"short","blob","sad",FALSE
"4",261.665,"5e71201319928003752d45b8",800,"short","blob","sad",TRUE
"5",1426.35,"5e71201319928003752d45b8",1400,"long","blob","sad",TRUE
"6",482.665,"5e71201319928003752d45b8",1000,"short","blob","sad",TRUE
"7",655.06,"5e71201319928003752d45b8",1400,"long","blob","fear",TRUE
"8",227.33,"5e71201319928003752d45b8",400,"short","blob","fear",TRUE
"9",1478.11,"5e71201319928003752d45b8",1400,"long","blob","fear",TRUE
"10",275.775,"5e71201319928003752d45b8",400,"short","blob","sad",TRUE
"11",238.445,"5e71201319928003752d45b8",400,"short","blob","fear",TRUE
"12",234.15,"5e71201319928003752d45b8",600,"short","blob","sad",TRUE
"13",486.29,"5e71201319928003752d45b8",1600,"long","blob","fear",TRUE
"14",228.675,"5e71201319928003752d45b8",600,"short","blob","fear",TRUE
"15",342.22,"5e71201319928003752d45b8",600,"short","blob","sad",TRUE
"16",1150.53,"5e71201319928003752d45b8",1400,"long","blob","fear",TRUE
"17",832.515,"5e71201319928003752d45b8",1200,"short","blob","sad",FALSE
"18",1876.19,"5e71201319928003752d45b8",1200,"long","blob","fear",TRUE
"19",454.28,"5e71201319928003752d45b8",1400,"long","blob","sad",TRUE
"20",267.01,"5e71201319928003752d45b8",600,"short","blob","fear",TRUE
"21",1732.29,"5c819e80d47e6a0016a60c63",800,"short","blob","fear",TRUE
"22",693.33,"5c819e80d47e6a0016a60c63",1400,"long","blob","sad",TRUE
"23",1841.51,"5c819e80d47e6a0016a60c63",1400,"long","blob","fear",TRUE
"24",1049.58,"5c819e80d47e6a0016a60c63",800,"short","blob","sad",TRUE
"25",949.365,"5c819e80d47e6a0016a60c63",1400,"long","blob","fear",TRUE
"26",966.45,"5c819e80d47e6a0016a60c63",1200,"short","blob","sad",FALSE
"27",1662.55,"5c819e80d47e6a0016a60c63",1200,"long","blob","fear",TRUE
"28",865.37,"5c819e80d47e6a0016a60c63",1200,"long","blob","sad",TRUE
"29",1957.91,"5c819e80d47e6a0016a60c63",400,"short","blob","fear",TRUE
"30",1444.81,"5c819e80d47e6a0016a60c63",1600,"long","blob","fear",TRUE
"31",5481.44,"5c819e80d47e6a0016a60c63",1000,"long","blob","sad",TRUE
"32",1489.74,"5c819e80d47e6a0016a60c63",1000,"long","blob","sad",TRUE
"33",3189.81,"5c819e80d47e6a0016a60c63",800,"long","blob","fear",FALSE
"34",450.25,"5c819e80d47e6a0016a60c63",600,"short","blob","sad",TRUE
"35",930.95,"5c819e80d47e6a0016a60c63",1000,"long","blob","fear",TRUE
"36",554.155,"5c819e80d47e6a0016a60c63",600,"short","blob","sad",TRUE
"37",275.665,"5c819e80d47e6a0016a60c63",1200,"long","blob","fear",TRUE
"38",798.79,"5c819e80d47e6a0016a60c63",1000,"long","blob","sad",TRUE
"39",343.035,"5c819e80d47e6a0016a60c63",1400,"long","blob","sad",TRUE
"40",453.905,"5c819e80d47e6a0016a60c63",1600,"long","blob","fear",TRUE
"41",3475.66,"5e947199fd9df201e0c6950d",1200,"short","orig","fear",FALSE
"42",1177.96,"5e947199fd9df201e0c6950d",1600,"long","orig","fear",TRUE
"43",684.335,"5e947199fd9df201e0c6950d",800,"short","orig","fear",TRUE
"44",860.955,"5e947199fd9df201e0c6950d",800,"short","orig","sad",TRUE
"45",709.58,"5e947199fd9df201e0c6950d",1000,"short","orig","fear",TRUE
"46",695.315,"5e947199fd9df201e0c6950d",800,"short","orig","sad",TRUE
"47",809.855,"5e947199fd9df201e0c6950d",1400,"long","orig","fear",TRUE
"48",427.585,"5e947199fd9df201e0c6950d",600,"short","orig","fear",TRUE
"49",552.835,"5e947199fd9df201e0c6950d",400,"short","orig","sad",TRUE
"50",875.815,"5e947199fd9df201e0c6950d",1600,"long","orig","sad",TRUE
"51",966.535,"5e947199fd9df201e0c6950d",1600,"long","orig","sad",TRUE
"52",540.695,"5e947199fd9df201e0c6950d",400,"short","orig","fear",TRUE
"53",516.515,"5e947199fd9df201e0c6950d",400,"short","orig","fear",TRUE
"54",617.14,"5e947199fd9df201e0c6950d",400,"short","orig","fear",TRUE
"55",1758.71,"5e947199fd9df201e0c6950d",400,"short","orig","fear",TRUE
"56",777.715,"5e947199fd9df201e0c6950d",1200,"long","orig","sad",TRUE
"57",439.695,"5e947199fd9df201e0c6950d",400,"short","orig","sad",TRUE
"58",351.885,"5e947199fd9df201e0c6950d",400,"short","orig","sad",TRUE
"59",450.575,"5e947199fd9df201e0c6950d",1200,"long","orig","sad",TRUE
"60",412.185,"5e947199fd9df201e0c6950d",400,"short","orig","sad",TRUE
"61",1683.77,"5c645f8d0e3b050001e4ec92",800,"short","orig","sad",TRUE
"62",989.08,"5c645f8d0e3b050001e4ec92",400,"short","orig","fear",TRUE
"63",825.21,"5c645f8d0e3b050001e4ec92",1200,"long","orig","sad",TRUE
"64",677.02,"5c645f8d0e3b050001e4ec92",400,"short","orig","fear",TRUE
"65",1045.52,"5c645f8d0e3b050001e4ec92",1600,"long","orig","sad",TRUE
"66",762.93,"5c645f8d0e3b050001e4ec92",800,"long","orig","sad",FALSE
"67",898.32,"5c645f8d0e3b050001e4ec92",400,"short","orig","sad",TRUE
"68",2136.77,"5c645f8d0e3b050001e4ec92",1000,"short","orig","sad",TRUE
"69",630.285,"5c645f8d0e3b050001e4ec92",400,"short","orig","fear",TRUE
"70",693.77,"5c645f8d0e3b050001e4ec92",1600,"long","orig","fear",TRUE
"71",937.205,"5c645f8d0e3b050001e4ec92",1400,"long","orig","sad",TRUE
"72",848.55,"5c645f8d0e3b050001e4ec92",1200,"long","orig","sad",TRUE
"73",676.28,"5c645f8d0e3b050001e4ec92",1400,"long","orig","fear",TRUE
"74",696.7,"5c645f8d0e3b050001e4ec92",600,"short","orig","sad",TRUE
"75",718.99,"5c645f8d0e3b050001e4ec92",400,"short","orig","fear",TRUE
"76",1192.66,"5c645f8d0e3b050001e4ec92",800,"short","orig","fear",TRUE
"77",645.44,"5c645f8d0e3b050001e4ec92",1600,"long","orig","fear",TRUE
"78",827.445,"5c645f8d0e3b050001e4ec92",1600,"long","orig","fear",TRUE
"79",490.65,"5c645f8d0e3b050001e4ec92",600,"short","orig","fear",TRUE
"80",908.795,"5c645f8d0e3b050001e4ec92",1000,"long","orig","sad",TRUE
"81",4025.25,"5e8a56755ae5fb709d5689a0",400,"long","orig","sad",FALSE
"82",3242.64,"5e8a56755ae5fb709d5689a0",1400,"long","orig","sad",TRUE
"83",5026.53,"5e8a56755ae5fb709d5689a0",800,"long","orig","sad",FALSE
"84",825.7,"5e8a56755ae5fb709d5689a0",400,"short","orig","fear",TRUE
"85",907.15,"5e8a56755ae5fb709d5689a0",800,"long","orig","sad",FALSE
"86",729.87,"5e8a56755ae5fb709d5689a0",1400,"short","orig","fear",FALSE
"87",836.96,"5e8a56755ae5fb709d5689a0",800,"long","orig","fear",FALSE
"88",721.635,"5e8a56755ae5fb709d5689a0",1400,"long","orig","sad",TRUE
"89",768.93,"5e8a56755ae5fb709d5689a0",1600,"long","orig","fear",TRUE
"90",562.475,"5e8a56755ae5fb709d5689a0",1000,"long","orig","sad",TRUE
"91",1.42,"5e8a56755ae5fb709d5689a0",1600,"long","orig","fear",TRUE
"92",1839.37,"5e8a56755ae5fb709d5689a0",1400,"long","orig","sad",TRUE
"93",517.5,"5e8a56755ae5fb709d5689a0",800,"long","orig","fear",FALSE
"94",513.245,"5e8a56755ae5fb709d5689a0",1000,"long","orig","fear",TRUE
"95",479.765,"5e8a56755ae5fb709d5689a0",1600,"long","orig","sad",TRUE
"96",511.585,"5e8a56755ae5fb709d5689a0",1200,"long","orig","sad",TRUE
"97",471.845,"5e8a56755ae5fb709d5689a0",400,"short","orig","fear",TRUE
"98",727.71,"5e8a56755ae5fb709d5689a0",600,"short","orig","fear",TRUE
"99",1945.88,"5e8a56755ae5fb709d5689a0",600,"short","orig","fear",TRUE
"100",725.24,"5e8a56755ae5fb709d5689a0",1000,"long","orig","sad",TRUE
"101",1156.4,"5a4fe91b8e6259000175622b",400,"short","blob","sad",TRUE
"102",1449.54,"5a4fe91b8e6259000175622b",1200,"long","blob","sad",TRUE
"103",651.345,"5a4fe91b8e6259000175622b",800,"short","blob","fear",TRUE
"104",488.665,"5a4fe91b8e6259000175622b",1000,"short","blob","fear",TRUE
"105",471.235,"5a4fe91b8e6259000175622b",800,"short","blob","fear",TRUE
"106",429.83,"5a4fe91b8e6259000175622b",600,"short","blob","fear",TRUE
"107",403.185,"5a4fe91b8e6259000175622b",1200,"long","blob","sad",TRUE
"108",387.655,"5a4fe91b8e6259000175622b",400,"short","blob","fear",TRUE
"109",421.09,"5a4fe91b8e6259000175622b",1400,"long","blob","sad",TRUE
"110",367.49,"5a4fe91b8e6259000175622b",1200,"long","blob","fear",TRUE
"111",346.145,"5a4fe91b8e6259000175622b",400,"short","blob","sad",TRUE
"112",316.79,"5a4fe91b8e6259000175622b",1200,"long","blob","fear",TRUE
"113",319.675,"5a4fe91b8e6259000175622b",1600,"long","blob","sad",TRUE
"114",381.19,"5a4fe91b8e6259000175622b",1600,"long","blob","sad",TRUE
"115",344.815,"5a4fe91b8e6259000175622b",1000,"long","blob","sad",TRUE
"116",343.765,"5a4fe91b8e6259000175622b",1000,"long","blob","fear",TRUE
"117",278.975,"5a4fe91b8e6259000175622b",400,"short","blob","fear",TRUE
"118",373.9,"5a4fe91b8e6259000175622b",1200,"long","blob","fear",TRUE
"119",114.015,"5a4fe91b8e6259000175622b",800,"short","blob","sad",TRUE
"120",361.74,"5a4fe91b8e6259000175622b",1400,"long","blob","sad",TRUE
"121",1483.98,"5c3764a08cfec40001c063ad",1400,"long","orig","fear",TRUE
"122",555.11,"5c3764a08cfec40001c063ad",1000,"long","orig","sad",TRUE
"123",452.05,"5c3764a08cfec40001c063ad",600,"short","orig","fear",TRUE
"124",535.605,"5c3764a08cfec40001c063ad",1000,"long","orig","fear",TRUE
"125",350.905,"5c3764a08cfec40001c063ad",400,"short","orig","fear",TRUE
"126",550.14,"5c3764a08cfec40001c063ad",1200,"long","orig","fear",TRUE
"127",360.715,"5c3764a08cfec40001c063ad",1200,"long","orig","fear",TRUE
"128",369.12,"5c3764a08cfec40001c063ad",400,"short","orig","sad",TRUE
"129",645.59,"5c3764a08cfec40001c063ad",600,"short","orig","sad",TRUE
"130",600.075,"5c3764a08cfec40001c063ad",1400,"long","orig","sad",TRUE
"131",518.17,"5c3764a08cfec40001c063ad",600,"short","orig","sad",TRUE
"132",292.805,"5c3764a08cfec40001c063ad",1400,"long","orig","fear",TRUE
"133",864.7,"5c3764a08cfec40001c063ad",600,"long","orig","fear",FALSE
